cycle,range_bin,doppler_bin,output_hex
1158035000,22,27,01a200b5
1158045000,22,28,fff8ff50
1158055000,22,29,ff23ffca
1158065000,22,30,0076ffba
1158075000,22,31,ffda01de
1163155000,23,0,007e0147
1163165000,23,1,fefffe5d
1163175000,23,2,fff601ac
1163185000,23,3,0045ff70
1163195000,23,4,ff92ff4c
1163205000,23,5,0134016b
1163215000,23,6,ff82ffa2
1163225000,23,7,006900e7
1163235000,23,8,fdfcfd5f
1163245000,23,9,021a0295
1163255000,23,10,fe61fd65
1163265000,23,11,010d03e8
1163275000,23,12,00ccfd2b
1163285000,23,13,fef30048
1163295000,23,14,01b0ff65
1163305000,23,15,fe500155
1163315000,23,16,ffcaff0d
1163325000,23,17,0185ff5f
1163335000,23,18,fdc20278
1163345000,23,19,0089fe84
1163355000,23,20,0190fed0
1163365000,23,21,fdf40229
1163375000,23,22,010cff94
1163385000,23,23,0109febf
1163395000,23,24,ff640019
1163405000,23,25,00260103
1163415000,23,26,ff570117
1163425000,23,27,002dfc68
1163435000,23,28,0002036d
1163445000,23,29,ff69fcd0
1163455000,23,30,00ca0385
1163465000,23,31,ffdefd81
1168545000,24,0,fed5001f
1168555000,24,1,02bd00bd
1168565000,24,2,fd3d00f4
1168575000,24,3,0179fe5f
1168585000,24,4,fcde0399
1168595000,24,5,04e8fce3
1168605000,24,6,fdc0011a
1168615000,24,7,fffeffe1
1168625000,24,8,0065fe7c
1168635000,24,9,ffdf021d
1168645000,24,10,ff61fd96
1168655000,24,11,00ea03f5
1168665000,24,12,0000fcc4
1168675000,24,13,fe6b0075
1168685000,24,14,02d2ffc7
1168695000,24,15,fe2700c3
1168705000,24,16,004dfffd
1168715000,24,17,0195ff7f
1168725000,24,18,fd8f00d8
1168735000,24,19,fff1fef3
1168745000,24,20,01c8ffe7
1168755000,24,21,fe9e0067
1168765000,24,22,009effc4
1168775000,24,23,feceffc1
1168785000,24,24,01d901a0
1168795000,24,25,006bfef3
1168805000,24,26,fd93ffe2
1168815000,24,27,029cffc5
1168825000,24,28,fdd2001c
1168835000,24,29,006b008d
1168845000,24,30,00b8009f
1168855000,24,31,ffa5fdd7
1173935000,25,0,02bf00eb
1173945000,25,1,ff90ff24
1173955000,25,2,fed8fff8
1173965000,25,3,00f40010
1173975000,25,4,ff790169
1173985000,25,5,0095ff1d
1173995000,25,6,ff5fff16
1174005000,25,7,011f01c7
1174015000,25,8,fe41fe2e
1174025000,25,9,004201ca
